City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,33.03,66,100,20.71,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,44.71,70,0,16.11,clear sky
2,Awjilah,LY,29.1081,21.2869,70.34,24,100,11.54,overcast clouds
3,Busselton,AU,-33.65,115.3333,69.62,82,99,7.72,overcast clouds
4,Castro,BR,-24.7911,-50.0119,55.13,98,100,6.22,overcast clouds
5,Hermanus,ZA,-34.4187,19.2345,62.8,77,32,14.23,scattered clouds
6,Ribeira Grande,PT,38.5167,-28.7,59.29,72,100,21.65,overcast clouds
7,Namibe,AO,-15.1961,12.1522,71.33,81,78,2.62,broken clouds
8,Genhe,CN,50.7833,121.5167,11.23,98,66,2.55,broken clouds
9,Bagdarin,RU,54.4333,113.6,18.28,92,100,4.65,overcast clouds
10,Qaanaaq,GL,77.484,-69.3632,14.74,95,100,3.62,overcast clouds
11,Ossora,RU,59.2353,163.0719,18.88,91,100,5.7,light snow
12,Tasiilaq,GL,65.6145,-37.6368,32.16,91,100,4.38,overcast clouds
13,Iquitos,PE,-3.7481,-73.2472,78.84,83,75,3.44,broken clouds
14,Faanui,PF,-16.4833,-151.75,80.65,75,100,1.36,moderate rain
15,Muncar,ID,-8.4333,114.3333,74.82,90,99,3.06,moderate rain
16,Chokurdakh,RU,70.6333,147.9167,-19.97,99,28,3.06,scattered clouds
17,Kavieng,PG,-2.5744,150.7967,80.08,81,100,9.64,moderate rain
18,East London,ZA,-33.0153,27.9116,65.14,90,100,7.23,light rain
19,Mariinsk,RU,56.2139,87.7472,34.11,80,100,14.16,overcast clouds
20,Feijo,BR,-8.1642,-70.3536,64.58,97,100,5.66,overcast clouds
21,Buraydah,SA,26.326,43.975,75.65,14,0,9.84,clear sky
22,Mar Del Plata,AR,-38.0023,-57.5575,66.22,77,0,20.0,clear sky
23,Dunedin,NZ,-45.8742,170.5036,55.8,67,8,8.01,clear sky
24,Grindavik,IS,63.8424,-22.4338,41.47,93,75,9.22,broken clouds
25,Upernavik,GL,72.7868,-56.1549,10.06,95,100,8.21,overcast clouds
26,Cape Town,ZA,-33.9258,18.4232,65.12,71,0,23.02,clear sky
27,Albany,US,42.6001,-73.9662,44.17,65,93,7.0,overcast clouds
28,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,88,75,12.66,broken clouds
29,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,94,75,18.41,broken clouds
30,Georgetown,MY,5.4112,100.3354,78.73,93,20,3.44,few clouds
31,Ostrovnoy,RU,68.0531,39.5131,10.69,95,87,10.16,overcast clouds
32,New Norfolk,AU,-42.7826,147.0587,54.9,73,100,1.99,overcast clouds
33,Mataura,NZ,-46.1927,168.8643,53.98,70,20,4.68,few clouds
34,Nikolskoye,RU,59.7035,30.7861,28.8,95,80,2.89,broken clouds
35,Rikitea,PF,-23.1203,-134.9692,75.25,58,34,12.03,scattered clouds
36,Hobart,AU,-42.8794,147.3294,55.26,91,75,10.36,broken clouds
37,Kodiak,US,57.79,-152.4072,40.51,87,75,19.57,light rain
38,Barrow,US,71.2906,-156.7887,-5.78,71,0,17.27,clear sky
39,Ust-Ilimsk,RU,58.0006,102.6619,21.16,98,100,2.3,overcast clouds
40,Torbay,CA,47.6666,-52.7314,36.28,89,100,16.11,snow
41,Puerto Ayora,EC,-0.7393,-90.3518,84.16,91,31,8.01,scattered clouds
42,Buncrana,IE,55.1333,-7.45,41.13,91,100,7.2,light rain
43,Dikson,RU,73.5069,80.5464,-5.46,96,63,7.94,broken clouds
44,Khatanga,RU,71.9667,102.5,-0.87,98,99,3.47,overcast clouds
45,Tulsipur,NP,28.131,82.2973,70.0,28,0,6.58,clear sky
46,Port Alfred,ZA,-33.5906,26.891,62.19,97,98,7.67,overcast clouds
47,Kariba,ZW,-16.5167,28.8,69.57,80,0,3.76,clear sky
48,Denpasar,ID,-8.65,115.2167,74.86,100,40,1.14,scattered clouds
49,Trairi,BR,-3.2778,-39.2689,76.66,86,99,4.25,overcast clouds
50,Ushuaia,AR,-54.8,-68.3,44.26,70,20,19.57,few clouds
51,Camacha,PT,33.0833,-16.3333,58.42,88,40,2.3,scattered clouds
52,Atuona,PF,-9.8,-139.0333,78.87,78,25,7.29,light rain
53,Kapaa,US,22.0752,-159.319,80.58,71,40,16.11,scattered clouds
54,Caravelas,BR,-17.7125,-39.2481,77.88,78,0,6.42,clear sky
55,Viedma,AR,-40.8135,-62.9967,67.8,22,97,17.02,overcast clouds
56,Huazhou,CN,21.6333,110.5833,57.54,85,100,11.59,overcast clouds
57,Hualmay,PE,-11.0964,-77.6139,71.96,78,64,10.54,broken clouds
58,Manzhouli,CN,49.6,117.4333,28.49,75,7,6.87,clear sky
59,Road Town,VG,18.4167,-64.6167,82.44,65,20,16.11,few clouds
60,Hellvik,NO,59.9156,5.781,37.78,60,10,1.99,clear sky
61,Richards Bay,ZA,-28.783,32.0377,70.99,92,86,6.04,light rain
62,Acari,PE,-15.4311,-74.6158,75.7,62,62,7.45,broken clouds
63,Talara,PE,-4.5772,-81.2719,84.96,58,0,11.5,clear sky
64,Palmares Do Sul,BR,-30.2578,-50.5097,60.91,68,9,6.49,clear sky
65,Sulangan,PH,11.1373,123.7228,82.51,67,86,22.06,overcast clouds
66,San Patricio,US,28.017,-97.5169,82.49,47,96,16.6,overcast clouds
67,La Libertad,EC,-2.2333,-80.9,82.06,78,0,9.22,clear sky
68,Lebu,CL,-37.6167,-73.65,57.25,87,0,16.06,clear sky
69,Touros,BR,-5.1989,-35.4608,78.78,85,100,11.54,overcast clouds
70,Rio Grande,BR,-32.035,-52.0986,62.71,68,2,8.81,clear sky
71,Quatre Cocos,MU,-20.2078,57.7625,76.08,91,100,18.3,moderate rain
72,Jimeta,NG,9.2833,12.4667,86.9,11,87,3.2,overcast clouds
73,Bluff,NZ,-46.6,168.3333,57.49,73,79,16.69,broken clouds
74,Karratha,AU,-20.7377,116.8463,82.08,77,2,5.79,clear sky
75,Novyy Urengoy,RU,66.0833,76.6333,9.09,95,91,8.75,overcast clouds
76,Yellowknife,CA,62.456,-114.3525,0.28,61,20,11.5,few clouds
77,Port Elizabeth,ZA,-33.918,25.5701,64.69,83,40,13.8,light rain
78,Fairhope,US,30.523,-87.9033,78.03,30,0,5.75,clear sky
79,Alofi,NU,-19.0595,-169.9187,84.09,74,99,9.22,overcast clouds
80,Mufulira,ZM,-12.5498,28.2407,61.32,97,25,3.56,scattered clouds
81,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,20,5.75,few clouds
82,Prainha,BR,-1.8,-53.48,76.17,95,73,3.33,broken clouds
83,Oranjemund,NA,-28.55,16.4333,58.86,91,0,12.64,clear sky
84,Margate,GB,51.3813,1.3862,40.69,60,58,11.99,broken clouds
85,Faya,SA,18.3851,42.4509,64.51,18,35,6.06,scattered clouds
86,Srednekolymsk,RU,67.45,153.6833,-10.71,96,97,4.99,overcast clouds
87,Conde,BR,-7.2597,-34.9075,80.06,83,40,10.36,scattered clouds
88,Avera,US,33.194,-82.5271,73.38,36,13,9.71,few clouds
89,Asfi,MA,32.2994,-9.2372,58.08,80,4,20.62,clear sky
90,Hovd,MN,48.0056,91.6419,32.14,27,100,1.81,overcast clouds
91,Tamiahua,MX,21.2667,-97.45,81.41,66,59,12.8,broken clouds
92,Luderitz,NA,-26.6481,15.1594,61.59,70,0,18.72,clear sky
93,Pak Phanang,TH,8.3511,100.202,79.41,83,93,3.91,overcast clouds
94,Te Anau,NZ,-45.4167,167.7167,57.07,69,13,0.47,few clouds
95,Konch,IN,25.9833,79.15,79.52,10,0,4.9,clear sky
96,Bredasdorp,ZA,-34.5322,20.0403,63.75,72,93,11.99,light rain
97,Hobyo,SO,5.3505,48.5268,81.23,74,1,13.91,clear sky
98,Kimbe,PG,-5.5502,150.1429,75.38,89,100,3.36,overcast clouds
99,Xining,CN,36.6167,101.7667,31.26,65,8,3.15,clear sky
100,Cayenne,GF,4.9333,-52.3333,78.1,1,100,2.3,overcast clouds
101,Loandjili,CG,-4.7561,11.8578,76.69,86,100,1.36,overcast clouds
102,Alamos,MX,27.0167,-108.9333,86.86,11,56,10.18,broken clouds
103,Luau,AO,-10.7073,22.2247,65.1,95,26,2.48,light rain
104,Belaya Gora,RU,68.5333,146.4167,-10.8,100,100,0.81,overcast clouds
105,La Ronge,CA,55.1001,-105.2842,26.85,59,100,19.57,overcast clouds
106,Nanortalik,GL,60.1432,-45.2371,35.74,88,99,1.83,overcast clouds
107,Victoria,HK,22.2855,114.1577,61.32,80,100,14.0,overcast clouds
108,Cockburn Town,TC,21.4612,-71.1419,80.56,65,40,14.97,scattered clouds
109,Kholodnyy,RU,62.7167,147.95,-0.42,81,100,3.15,overcast clouds
110,Vaini,TO,-21.2,-175.2,82.56,83,75,3.44,broken clouds
111,Ostersund,SE,63.1792,14.6357,23.45,68,38,9.22,scattered clouds
112,Sitka,US,57.0531,-135.33,39.09,81,100,9.22,moderate rain
113,Asau,RO,46.4333,26.4,52.95,78,100,4.97,overcast clouds
114,Camabatela,AO,-8.1881,15.375,60.67,95,81,2.13,broken clouds
115,Tikrit,IQ,34.6071,43.6782,70.65,22,1,8.99,clear sky
116,Puerto Baquerizo Moreno,EC,-0.9,-89.6,81.59,89,75,10.36,broken clouds
117,Dargaville,NZ,-35.9333,173.8833,71.67,59,7,1.99,clear sky
118,Zheleznodorozhnyy,RU,55.7503,38.0042,34.32,92,100,12.19,overcast clouds
119,Sur,OM,22.5667,59.5289,82.63,33,0,7.47,clear sky
120,Ponta Do Sol,PT,32.6667,-17.1,64.0,84,100,1.21,overcast clouds
121,Doctor Juan Leon Mallorquin,PY,-25.4,-55.2667,74.93,82,48,4.0,scattered clouds
122,Gravelbourg,CA,49.8834,-106.5512,44.87,39,93,19.01,overcast clouds
123,Brive-La-Gaillarde,FR,45.25,1.5,33.84,55,87,7.02,light snow
124,Geraldton,AU,-28.7667,114.6,73.81,78,9,14.97,clear sky
125,Bethel,US,41.3712,-73.414,48.56,80,85,10.0,overcast clouds
126,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,83,100,5.75,overcast clouds
127,Krabi,TH,8.0726,98.9105,82.06,95,20,2.3,few clouds
128,San Quintin,MX,30.4833,-115.95,63.79,59,0,11.21,clear sky
129,Pisco,PE,-13.7,-76.2167,71.65,68,20,17.27,few clouds
130,Lakselv,NO,70.0513,24.9718,24.62,63,40,13.8,scattered clouds
131,Ekibastuz,KZ,51.6667,75.3667,33.62,75,11,10.74,few clouds
132,Husavik,IS,66.0449,-17.3389,35.58,86,96,6.98,overcast clouds
133,Hilo,US,19.7297,-155.09,77.25,87,100,5.75,heavy intensity rain
134,Noumea,NC,-22.2763,166.4572,82.99,99,83,4.34,broken clouds
135,Yarkovo,RU,57.4028,67.0786,12.51,99,100,2.39,overcast clouds
136,Bay Roberts,CA,47.5999,-53.2648,36.05,82,100,5.01,light rain
137,Avarua,CK,-21.2078,-159.775,84.25,74,87,10.36,overcast clouds
138,Inhambane,MZ,-23.865,35.3833,76.17,81,0,7.09,clear sky
139,Thurles,IE,52.6819,-7.8022,41.83,81,100,9.42,overcast clouds
140,Danville,US,36.586,-79.395,61.45,36,0,17.27,clear sky
141,Tazovskiy,RU,67.4667,78.7,1.76,100,92,8.12,overcast clouds
142,Kavaratti,IN,10.5669,72.642,82.22,75,30,7.56,scattered clouds
143,Lata,PT,40.1629,-8.3327,42.64,77,1,3.83,clear sky
144,Butaritari,KI,3.0707,172.7902,82.26,77,97,21.56,overcast clouds
145,Talnakh,RU,69.4865,88.3972,11.21,95,100,7.31,light snow
146,San Cristobal,VE,7.7669,-72.225,78.98,41,64,5.46,broken clouds
147,Dawei,MM,14.0833,98.2,77.79,72,10,9.19,clear sky
148,Broome,US,42.2506,-75.833,41.63,66,100,16.11,overcast clouds
149,Inirida,CO,3.8653,-67.9239,83.61,70,100,1.54,overcast clouds
150,Hollola,FI,61.05,25.4333,17.28,92,16,2.24,few clouds
151,Teya,RU,60.3778,92.6267,11.16,98,100,2.75,overcast clouds
152,Codrington,AU,-38.2667,141.9667,58.64,74,100,6.64,overcast clouds
153,Provideniya,RU,64.3833,-173.3,26.85,88,100,9.98,overcast clouds
154,Uribia,CO,11.7139,-72.266,89.13,46,90,19.08,overcast clouds
155,Gambo,CF,4.6482,22.2633,71.82,85,85,1.83,overcast clouds
156,Tchibanga,GA,-2.85,11.0333,72.18,98,100,1.95,overcast clouds
157,Kudahuvadhoo,MV,2.6708,72.8944,82.31,71,31,5.84,scattered clouds
158,Palmer,US,42.1584,-72.3287,48.81,61,100,20.71,overcast clouds
159,Prince Rupert,CA,54.3161,-130.3201,42.49,93,100,16.11,light rain
160,Manchester,GB,53.4809,-2.2374,40.37,86,75,3.44,broken clouds
161,Norman Wells,CA,65.282,-126.8329,-7.56,54,20,4.61,few clouds
162,Shache,CN,38.4167,77.2406,50.72,33,34,5.95,scattered clouds
163,Ocean City,US,39.2776,-74.5746,55.0,42,64,14.0,broken clouds
164,Najran,SA,17.4924,44.1277,66.85,18,3,1.79,clear sky
165,Baykit,RU,61.67,96.37,-1.89,100,85,0.54,overcast clouds
166,Ancud,CL,-41.8697,-73.8203,59.23,89,10,6.8,clear sky
167,Maromitsa,RU,59.8683,48.0123,6.03,98,31,3.42,scattered clouds
168,Carnarvon,AU,-24.8667,113.6333,75.27,94,75,6.91,broken clouds
169,Dubti,ET,11.7361,41.0853,83.37,42,0,11.34,clear sky
170,Tuatapere,NZ,-46.1333,167.6833,54.37,70,28,2.55,scattered clouds
171,Qasigiannguit,GL,68.8193,-51.1922,28.65,90,38,3.15,scattered clouds
172,Hithadhoo,MV,-0.6,73.0833,82.53,73,6,9.06,clear sky
173,Laguna,US,38.421,-121.4238,78.3,32,0,5.75,clear sky
174,Turtas,RU,58.9417,69.1325,6.24,99,72,3.33,broken clouds
175,Corinto,GR,37.9407,22.9573,58.89,77,0,6.8,clear sky
176,Saint-Philippe,RE,-21.3585,55.7679,72.99,93,100,20.33,heavy intensity rain
177,Saint George,US,37.1041,-113.5841,75.94,17,0,4.61,clear sky
178,Saldanha,ZA,-33.0117,17.9442,60.85,79,0,23.0,clear sky
179,Coihaique,CL,-45.5752,-72.0662,62.55,45,40,4.61,scattered clouds
180,Jining,CN,35.405,116.5814,41.59,56,0,7.9,clear sky
181,Tasca,RO,46.9,26.0167,52.65,93,100,4.41,overcast clouds
182,Naze,JP,28.3667,129.4833,61.72,67,100,16.31,overcast clouds
183,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,84,36,6.26,light rain
184,Klaksvik,FO,62.2266,-6.589,34.72,76,99,19.71,overcast clouds
185,Esperance,AU,-33.8667,121.9,60.64,71,11,15.05,few clouds
186,Lavrentiya,RU,65.5833,-171.0,16.11,72,100,11.99,overcast clouds
187,Skara,SE,58.3866,13.4384,27.63,74,13,2.06,few clouds
188,Yumen,CN,40.2833,97.2,38.01,22,0,5.77,clear sky
189,Mount Gambier,AU,-37.8333,140.7667,46.31,93,44,5.75,scattered clouds
190,Port-Gentil,GA,-0.7193,8.7815,78.98,87,100,11.21,moderate rain
191,Tiksi,RU,71.6872,128.8694,16.18,94,100,6.44,overcast clouds
192,Monastyrshchina,RU,54.3496,31.838,31.71,92,100,15.21,overcast clouds
193,Olinda,BR,-8.0089,-34.8553,83.93,70,75,8.05,broken clouds
194,Waw,SS,7.7029,27.9953,85.59,27,34,2.44,scattered clouds
195,Qixingtai,CN,30.4135,111.8874,50.52,76,97,3.0,overcast clouds
196,Coquimbo,CL,-29.9533,-71.3436,58.73,82,40,11.5,scattered clouds
197,Naftalan,AZ,40.5067,46.825,58.42,44,93,1.19,overcast clouds
198,Okhotsk,RU,59.3833,143.3,7.84,70,65,17.27,broken clouds
199,Celestun,MX,20.8667,-90.4,80.94,79,33,10.13,scattered clouds
200,Olga,RU,43.7444,135.2892,33.26,48,0,4.72,clear sky
201,Kaitangata,NZ,-46.2817,169.8464,54.23,68,29,7.99,scattered clouds
202,Rabat,MA,33.9911,-6.8401,59.16,89,20,0.0,few clouds
203,Nabire,ID,-3.3667,135.4833,76.26,77,100,3.8,overcast clouds
204,Severo-Kurilsk,RU,50.6789,156.125,27.54,66,98,25.72,overcast clouds
205,Cidreira,BR,-30.1811,-50.2056,63.21,64,6,6.24,clear sky
206,Mahebourg,MU,-20.4081,57.7,76.24,94,75,17.27,broken clouds
207,Estelle,US,29.8458,-90.1067,75.2,38,40,4.61,scattered clouds
208,Pangnirtung,CA,66.1451,-65.7125,21.2,93,75,3.44,broken clouds
209,Manaure,CO,11.7751,-72.4445,86.79,53,98,15.99,overcast clouds
210,Port Lincoln,AU,-34.7333,135.8667,61.81,71,28,15.03,scattered clouds
211,Iskateley,RU,67.6803,53.1512,7.52,90,84,9.31,broken clouds
212,Constitucion,CL,-35.3333,-72.4167,61.79,73,11,16.42,few clouds
213,Saskylakh,RU,71.9167,114.0833,2.19,97,97,6.58,overcast clouds
214,Vao,NC,-22.6667,167.4833,79.72,88,61,15.52,broken clouds
215,Hokitika,NZ,-42.7167,170.9667,64.35,71,99,1.97,overcast clouds
216,Tadepallegudem,IN,16.8333,81.5,77.45,94,10,3.29,clear sky
217,Kurchum,KZ,48.5722,83.6542,34.9,52,100,4.27,overcast clouds
218,Ullapool,GB,57.8987,-5.1604,38.35,97,83,2.93,broken clouds
219,Rafsanjan,IR,30.4067,55.9939,63.36,16,0,0.87,clear sky
220,Honiara,SB,-9.4333,159.95,79.74,82,99,2.33,overcast clouds
221,Pangoa,PE,-12.1167,-73.0,58.46,100,100,1.19,overcast clouds
222,Aykhal,RU,66.0,111.5,-2.18,100,82,10.8,broken clouds
223,Lovozero,RU,68.005,35.0117,6.24,79,81,4.88,broken clouds
224,Sioux Lookout,CA,50.1001,-91.917,42.87,31,75,12.66,broken clouds
225,Mallaig,CA,54.2169,-111.3685,34.09,63,100,6.13,overcast clouds
226,Candeias,BR,-20.7676,-45.2764,67.35,87,66,4.68,broken clouds
227,Yar-Sale,RU,66.8333,70.8333,6.55,91,52,11.43,broken clouds
228,Andenes,NO,69.3143,16.1194,30.92,93,100,20.71,heavy snow
229,Hamilton,US,39.1834,-84.5333,44.89,57,100,14.97,overcast clouds
230,Pemberton,CA,50.3164,-122.8027,46.51,92,98,5.37,overcast clouds
231,Sumbe,AO,-11.2061,13.8437,78.1,87,99,7.2,overcast clouds
232,Tual,ID,-5.6667,132.75,82.2,72,52,6.04,broken clouds
233,Port Macquarie,AU,-31.4333,152.9167,61.9,65,63,9.84,broken clouds
234,Bandarbeyla,SO,9.4942,50.8122,78.82,78,5,8.55,clear sky
235,Port Hedland,AU,-20.3167,118.5667,78.85,89,14,5.75,few clouds
236,Manokwari,ID,-0.8667,134.0833,79.3,80,100,5.26,overcast clouds
